label,text
Education,"Photo of primary school children sitting in an orchard
Photo of secondary school students in South Africa
Photo of a tutoring lesson
Photo of a man reading a newspaper
Education is a wide phenomenon that applies to all age groups and covers formal education (top row) as well as non-formal and informal education (bottom row)."
Education,"Education is the transmission of knowledge, skills, and character traits and manifests in various forms."
Education,"Formal education occurs within a structured institutional framework, such as public schools, following a curriculum."
Education,"Non-formal education also follows a structured approach but occurs outside the formal schooling system, while informal education entails unstructured learning through daily experiences."
Education,"Formal and non-formal education are categorized into levels, including early childhood education, primary education, secondary education, and tertiary education."
Education,"Other classifications focus on teaching methods, such as teacher-centered and student-centered education, and on subjects, such as science education, language education, and physical education."
Education,"Additionally, the term ""education"" can denote the mental states and qualities of educated individuals and the academic field studying educational phenomena."
Education,"The precise definition of education is disputed, and there are disagreements about the aims of education and the extent to which education differs from indoctrination by fostering critical thinking."
Education,"These disagreements impact how to identify, measure, and enhance various forms of education."
Education,"Essentially, education socializes children into society by instilling cultural values and norms, equipping them with the skills necessary to become productive members of society."
Education,"In doing so, it stimulates economic growth and raises awareness of local and global problems."
Education,Organized institutions play a significant role in education.
Education,"For instance, governments establish education policies to determine the timing of school classes, the curriculum, and attendance requirements."
Education,"International organizations, such as UNESCO, have been influential in promoting primary education for all children."
Education,Many factors influence the success of education.
Education,"Psychological factors include motivation, intelligence, and personality."
Education,"Social factors, such as socioeconomic status, ethnicity, and gender, are often associated with discrimination."
Education,"Other factors encompass access to educational technology, teacher quality, and parental involvement."
Education,The primary academic field examining education is known as education studies.
Education,"It delves into the nature of education, its objectives, impacts, and methods for enhancement."
Education,"Education studies encompasses various subfields, including philosophy, psychology, sociology, and economics of education."
Education,"Additionally, it explores topics such as comparative education, pedagogy, and the history of education."
Education,"In prehistory, education primarily occurred informally through oral communication and imitation."
Education,"With the emergence of ancient civilizations, the invention of writing led to an expansion of knowledge, prompting a transition from informal to formal education."
Education,"Initially, formal education was largely accessible to elites and religious groups."
Education,"The advent of the printing press in the 15th century facilitated widespread access to books, thus increasing general literacy."
Education,"In the 18th and 19th centuries, public education gained significance, paving the way for the global movement to provide primary education to all, free of charge, and compulsory up to a certain age."
Education,"Presently, over 90% of primary-school-age children worldwide attend primary school."
Education,"Definitions
Main article: Definitions of education
The term ""education"" originates from the Latin words educare, meaning ""to bring up,"" and educere, meaning ""to bring forth."""
Education,The definition of education has been explored by theorists from various fields.
Education,"Many agree that education is a purposeful activity aimed at achieving goals like the transmission of knowledge, skills, and character traits."
Education,"However, extensive debate surrounds its precise nature beyond these general features."
Education,"One approach views education as a process occurring during events such as schooling, teaching, and learning."
Education,Another perspective perceives education not as a process but as the mental states and dispositions of educated individuals resulting from this process.
Education,"Furthermore, the term may also refer to the academic field that studies the methods, processes, and social institutions involved in teaching and learning."
Education,"Having a clear understanding of the term is crucial when attempting to identify educational phenomena, measure educational success, and improve educational practices."
Education,Some theorists provide precise definitions by identifying specific features exclusive to all forms of education.
Education,"Education theorist R. S. Peters, for instance, outlines three essential features of education, including imparting knowledge and understanding to the student, ensuring the process is beneficial, and conducting it in a morally appropriate manner."
Education,"While such precise definitions often characterize the most typical forms of education effectively, they face criticism because less common types of education may occasionally fall outside their parameters."
Education,"Dealing with counterexamples not covered by precise definitions can be challenging, which is why some theorists prefer offering less exact definitions based on family resemblance instead."
Education,This approach suggests that all forms of education are similar to each other but need not share a set of essential features common to all.
Education,"Some education theorists, such as Keira Sewell and Stephen Newman, argue that the term ""education"" is context-dependent."
Education,"[a]

Evaluative or thick conceptions[b] of education assert that it is inherent in the nature of education to lead to some form of improvement."
Education,"They contrast with thin conceptions, which offer a value-neutral explanation."
Education,Some theorists provide a descriptive conception of education by observing how the term is commonly used in ordinary language.
Education,"Prescriptive conceptions, on the other hand, define what constitutes good education or how education should be practiced."
Education,"Many thick and prescriptive conceptions view education as an endeavor that strives to achieve specific objectives, which may encompass acquiring knowledge, learning to think rationally, and cultivating character traits such as kindness and honesty."
Education,Various scholars emphasize the importance of critical thinking in distinguishing education from indoctrination.
Education,"They argue that indoctrination focuses solely on instilling beliefs in students, regardless of their rationality; whereas education also encourages the rational ability to critically examine and question those beliefs."
Education,"However, it is not universally accepted that these two phenomena can be clearly distinguished, as some forms of indoctrination may be necessary in the early stages of education when the child's mind is not yet fully developed."
Education,"This is particularly relevant in cases where young children must learn certain things without comprehending the underlying reasons, such as specific safety rules and hygiene practices."
Education,Education can be characterized from both the teacher's and the student's perspectives.
Education,Teacher-centered definitions emphasize the perspective and role of the teacher in transmitting knowledge and skills in a morally appropriate manner.
Education,"On the other hand, student-centered definitions analyze education based on the student's involvement in the learning process, suggesting that this process transforms and enriches their subsequent experiences."
Education,It's also possible to consider definitions that incorporate both perspectives.
Education,"In this approach, education is seen as a process of shared experience, involving the discovery of a common world and the collaborative solving of problems."
Education,"Types
There are several classifications of education."
Education,"One classification depends on the institutional framework, distinguishing between formal, non-formal, and informal education."
Education,Another classification involves different levels of education based on factors such as the student's age and the complexity of the content.
Education,"Further categories focus on the topic, teaching method, medium used, and funding."
Education,"Formal, non-formal, and informal
Photo of a man tutoring two children
Photo of father and daughter cooking
Tutoring exemplifies non-formal education, whereas learning how to cook from one's parents falls under informal education."
Education,"The most common division is between formal, non-formal, and informal education."
Education,"[c] Formal education occurs within a structured institutional framework, typically with a chronological and hierarchical order."
Education,"The modern schooling system organizes classes based on the student's age and progress, ranging from primary school to university."
Education,Formal education is usually overseen and regulated by the government and often mandated up to a certain age.
Education,"Non-formal and informal education occur outside the formal schooling system, with non-formal education serving as a middle ground."
Education,"Like formal education, non-formal education is organized, systematic, and pursued with a clear purpose, as seen in activities such as tutoring, fitness classes, and participation in the scouting movement."
Education,"Informal education, on the other hand, occurs in an unsystematic manner through daily experiences and exposure to the environment."
Education,"Unlike formal and non-formal education, there is typically no designated authority figure responsible for teaching."
Education,"Informal education unfolds in various settings and situations throughout one's life, often spontaneously, such as children learning their first language from their parents or individuals mastering cooking skills by preparing a dish together."
Education,"Some theorists differentiate between the three types based on the learning environment: formal education occurs within schools, non-formal education takes place in settings not regularly frequented, such as museums, and informal education unfolds in the context of everyday routines."
Education,"Additionally, there are disparities in the source of motivation."
Education,"Formal education tends to be propelled by extrinsic motivation, driven by external rewards."
Education,"Conversely, in non-formal and informal education, intrinsic motivation, stemming from the enjoyment of the learning process, typically prevails."
Education,"While the differentiation among the three types is generally clear, certain forms of education may not neatly fit into a single category."
Education,"In primitive cultures, education predominantly occurred informally, with little distinction between educational activities and other daily endeavors."
Education,"Instead, the entire environment served as a classroom, and adults commonly assumed the role of educators."
Education,"However, informal education often proves insufficient for imparting large quantities of knowledge."
Education,"To address this limitation, formal educational settings and trained instructors are typically necessary."
Education,This necessity contributed to the increasing significance of formal education throughout history.
Education,"Over time, formal education led to a shift towards more abstract learning experiences and topics, distancing itself from daily life."
Education,There was a greater emphasis on understanding general principles and concepts rather than simply observing and imitating specific behaviors.
Education,"Levels
Photo of a kindergarten lesson in Japan
Children in a Japanese kindergarten
Types of education are often categorized into different levels or stages."
Education,"One influential framework is the International Standard Classification of Education, maintained by the United Nations Educational, Scientific and Cultural Organization (UNESCO)."
Education,"This classification encompasses both formal and non-formal education and distinguishes levels based on factors such as the student's age, the duration of learning, and the complexity of the content covered."
Education,"Additional criteria include entry requirements, teacher qualifications, and the intended outcome of successful completion."
Education,"The levels are grouped into early childhood education (level 0), primary education (level 1), secondary education (levels 2–3), post-secondary non-tertiary education (level 4), and tertiary education (levels 5–8)."
Education,"Early childhood education, also referred to as preschool education or nursery education, encompasses the period from birth until the commencement of primary school."
Education,"It is designed to facilitate holistic child development, addressing physical, mental, and social aspects."
Education,"Early childhood education is pivotal in fostering socialization and personality development, while also imparting fundamental skills in communication, learning, and problem-solving."
Education,Its overarching goal is to prepare children for the transition to primary education.
Education,"While preschool education is typically optional, in certain countries such as Brazil, it is mandatory starting from the age of four."
Education,"Photo of early childhood education in Ethiopia
Primary school classroom in Ethiopia
Primary (or elementary) education usually begins between the ages of five and seven and spans four to seven years."
Education,"It has no additional entry requirements and aims to impart fundamental skills in reading, writing, and mathematics."
Education,"Additionally, it provides essential knowledge in subjects such as history, geography, the sciences, music, and art."
Education,Another objective is to facilitate personal development.
Education,"Presently, primary education is compulsory in nearly all nations, with over 90% of primary-school-age children worldwide attending such schools."
Education,Secondary education succeeds primary education and typically spans the ages of 12 to 18 years.
Education,"It is normally divided into lower secondary education (such as middle school or junior high school) and upper secondary education (like high school, senior high school, or college, depending on the country)."
Education,Lower secondary education usually requires the completion of primary school as its entry prerequisite.
Education,"It aims to expand and deepen learning outcomes, with a greater focus on subject-specific curricula, and teachers often specialize in one or a few specific subjects."
Education,"One of its goals is to acquaint students with fundamental theoretical concepts across various subjects, laying a strong foundation for lifelong learning."
Education,"In certain instances, it may also incorporate rudimentary forms of vocational training."
Education,"Lower secondary education is compulsory in numerous countries across Central and East Asia, Europe, and the Americas."
Education,"In some nations, it represents the final phase of compulsory education."
Education,"However, mandatory lower secondary education is less common in Arab states, sub-Saharan Africa, and South and West Asia."
Education,"A high school senior (twelfth grade) classroom in the United States
Upper secondary education typically commences around the age of 15, aiming to equip students with the necessary skills and knowledge for employment or tertiary education."
Education,Completion of lower secondary education is normally a prerequisite.
Education,"The curriculum encompasses a broader range of subjects, often affording students the opportunity to select from various options."
Education,"Attainment of a formal qualification, such as a high school diploma, is frequently linked to successful completion of upper secondary education."
Education,"Education beyond the secondary level may fall under the category of post-secondary non-tertiary education, which is akin to secondary education in complexity but places greater emphasis on vocational training to ready students for the workforce."
Education,"Photo of students in a laboratory at the Saint Petersburg State Polytechnical University
Students in a laboratory at Saint Petersburg State Polytechnical University, Russia
In some countries, tertiary education is synonymous with higher education, while in others, tertiary education encompasses a broader spectrum."
Education,Tertiary education builds upon the foundation laid in secondary education but delves deeper into specific fields or subjects.
Education,Its culmination results in an academic degree.
Education,"Tertiary education comprises four levels: short-cycle tertiary, bachelor's, master's, and doctoral education."
Education,"These levels often form a hierarchical structure, with the attainment of earlier levels serving as a prerequisite for higher ones."
Education,"Short-cycle tertiary education concentrates on practical aspects, providing advanced vocational and professional training tailored to specialized professions."
Education,"Bachelor's level education, also known as undergraduate education, is typically longer than short-cycle tertiary education."
Education,It is commonly offered by universities and culminates in an intermediary academic credential known as a bachelor's degree.
Education,"Master's level education is more specialized than undergraduate education and often involves independent research, normally in the form of a master's thesis."
Education,"Doctoral level education leads to an advanced research qualification, usually a doctor's degree, such as a Doctor of Philosophy (PhD)."
Education,"It usually involves the submission of a substantial academic work, such as a dissertation."
Education,More advanced levels include post-doctoral studies and habilitation.
